Abbotsford Private Hospital,Private,61 Cambridge Street,"West Leederville, WA 6007","
08 9200 6282
",http://www.abbotsfordhospital.com.au,< 50,Member of Healthe Care,['Psychiatric unit']
Adelaide Clinic,Private,33 Park Terrace,"Gilberton, SA 5081","
08 8269 8100
",http://www.adelaideclinic.com.au/,50–99,Member of Ramsay Health Care Australia Pty Ltd,['Psychiatric unit']
Adelaide Day Surgery Pty Ltd,Private,18 North Terrace,"Adelaide, SA 5000","
08 8239 4900
",http://www.curagroup.com.au/adelaide-day-surgery,< 50,Member of Cura Day Hospitals Group,[]
Adelaide Eye & Laser Centre,Private,215 Greenhill Road,"Eastwood, SA 5063","
08 8274 7000
",http://www.aelc.com.au,not available,,[]
Adelaide Surgicentre,Private,89 King William Street,"Kent Town, SA 5067","
08 8211 0000
",http://www.asec.net.au,< 50,,[]
Aesthetic Day Surgery,Private,14 Kensington Street,"Kogarah, NSW 2217","
02 9553 9905
",http://www.aestheticdaysurgery.com.au,not available,,[]
Albany Hospital,Public,Warden Avenue,"Albany, WA 6330","
08 9892 2222
",http://www.health.wa.gov.au/services/detail.cfm?Unit_ID=4,100–199,,"['Emergency department', 'Geriatric assessment unit', 'Maintenance renal dialysis unit', 'Obstetric services', 'Oncology unit', 'Psychiatric unit', 'Rehabilitation unit']"
Albert Road Clinic,Private,31 Albert Road,"Melbourne, Vic 3004","
03 9256 8311
",http://www.albertroadclinic.com.au/,50–99,Member of Ramsay Health Care Australia Pty Ltd,['Psychiatric unit']
Albury Wodonga Health [Albury Campus],Public,201 Borella Road,"Albury, NSW 2640","
02 6058 4444
",http://www.albertroadclinic.com.au/,100–199,Member of Ramsay Health Care Australia Pty Ltd,"['Coronary care unit', 'Emergency department', 'Geriatric assessment unit', 'Intensive care unit', 'Oncology unit', 'Paediatric service', 'Rehabilitation unit']"
Albury Wodonga Health [Wodonga Campus],Public,69 Vermont Street,"Wodonga, Vic 3690","
02 6051 7111
",http://www.albertroadclinic.com.au/,100–199,Member of Ramsay Health Care Australia Pty Ltd,"['Domiciliary care unit', 'Emergency department', 'Maintenance renal dialysis unit', 'Obstetric services', 'Rehabilitation unit']"
Albury Wodonga Private Hospital,Private,1125 Pemberton Street,"West Albury, NSW 2640","
02 6041 1411
",http://www.alburywodongaprivate.com.au,100–199,Member of Ramsay Health Care Australia Pty Ltd,"['Coronary care unit', 'Psychiatric unit']"
